PolicyID|Province|PostalCode|Gender|Age|TotalPremium|TotalClaims|VehicleType
108|EasternCape|2003|Male|19|2596.12|0.0|Truck
109|KwaZuluNatal|2003|Female|45|884.49|2500.0|Hatchback
110|EasternCape|2001|Female|24|1077.17|0.0|SUV
111|WesternCape|7001|Female|19|1345.66|2343.22|Sedan
112|EasternCape|2001|Female|27|941.05|2500.0|SUV
113|KwaZuluNatal|6001|Male|31|820.26|0.0|Hatchback
114|KwaZuluNatal|2002|Male|22|1734.98|2500.0|Hatchback
115|KwaZuluNatal|4002|Female|61|1203.75|0.0|Truck
116|KwaZuluNatal|4001|Female|40|1084.29|1049.34|Truck
117|Gauteng|2003|Female|46|1555.06|0.0|Hatchback
118|Gauteng|5002|Male|62|1234.99|0.0|Sedan
119|WesternCape|2002|Male|61|988.66|0.0|SUV
120|Gauteng|5002|Female|60|822.62|0.0|Truck
121|KwaZuluNatal|5001|Male|28|897.52|2500.0|Truck
122|EasternCape|4002|Male|56|1424.15|2500.0|Hatchback
123|EasternCape|5002|Male|69|1202.28|0.0|SUV
124|KwaZuluNatal|7002|Female|18|957.62|0.0|Sedan
125|Limpopo|2003|Male|63|1754.48|0.0|Hatchback
126|KwaZuluNatal|2002|Female|63|963.99|0.0|SUV
127|Gauteng|6001|Male|61|1323.41|0.0|Truck
128|EasternCape|7002|Female|38|1056.45|0.0|Hatchback
129|KwaZuluNatal|5002|Male|28|1875.68|0.0|Truck
130|EasternCape|7001|Male|56|1228.47|370.25|Hatchback
131|KwaZuluNatal|6001|Male|50|1011.23|0.0|SUV
132|KwaZuluNatal|5002|Male|55|959.31|1112.9|SUV
133|Gauteng|7001|Female|31|996.33|0.0|SUV
134|KwaZuluNatal|7002|Male|27|858.84|0.0|Hatchback
135|EasternCape|5001|Female|64|776.17|0.0|SUV
136|WesternCape|2003|Female|44|1081.4|0.0|Sedan
137|EasternCape|2001|Male|62|890.43|0.0|Truck
138|Gauteng|2003|Male|66|889.96|0.0|SUV
139|WesternCape|4001|Female|41|979.24|0.0|Hatchback
140|KwaZuluNatal|2002|Female|31|1012.73|0.0|Hatchback
141|Limpopo|7001|Female|64|1001.77|0.0|Sedan
142|WesternCape|6001|Female|55|1735.06|0.0|Sedan
143|WesternCape|2001|Female|52|1195.2|0.0|Hatchback
144|KwaZuluNatal|2001|Male|67|2016.8|0.0|Sedan
145|Limpopo|7002|Female|30|907.38|0.0|SUV
146|Limpopo|2001|Male|36|1240.15|0.0|Hatchback
147|Gauteng|2001|Female|20|917.8|0.0|Sedan
148|WesternCape|2002|Male|38|885.66|0.0|SUV
149|Limpopo|2002|Male|41|2049.23|2500.0|SUV
150|Gauteng|5002|Female|41|852.29|0.0|Hatchback
151|Limpopo|2002|Female|25|704.84|0.0|SUV
152|WesternCape|4001|Female|60|861.57|0.0|Truck
153|Limpopo|5001|Female|43|719.88|0.0|SUV
154|WesternCape|4002|Male|40|826.03|0.0|Hatchback
155|KwaZuluNatal|4002|Male|62|838.95|0.0|SUV
156|EasternCape|7001|Female|43|1008.56|0.0|Truck
157|Gauteng|5002|Male|64|716.95|2441.65|SUV
158|KwaZuluNatal|2001|Male|29|1419.78|0.0|Hatchback
159|KwaZuluNatal|2002|Female|62|729.8|0.0|Sedan
160|EasternCape|5002|Male|69|970.49|0.0|SUV
161|Limpopo|2001|Male|57|929.3|0.0|Truck
162|EasternCape|2002|Female|64|1256.34|0.0|SUV
163|KwaZuluNatal|2002|Male|56|1093.93|0.0|SUV
164|KwaZuluNatal|2001|Female|49|1415.33|0.0|Sedan
165|KwaZuluNatal|2002|Male|57|922.01|383.76|Truck
166|Limpopo|4001|Male|67|902.66|2500.0|Hatchback
167|WesternCape|4002|Male|49|1112.42|0.0|Truck
168|Gauteng|2001|Female|53|1341.73|0.0|SUV
169|WesternCape|6001|Female|22|1256.23|0.0|SUV
170|Gauteng|2001|Female|67|1085.2|2088.09|Hatchback
171|Gauteng|4002|Male|58|1059.92|0.0|Hatchback
172|Gauteng|5002|Female|26|991.38|2500.0|Hatchback
173|EasternCape|4001|Male|33|1111.54|2500.0|Hatchback
174|EasternCape|7002|Female|29|1956.18|1343.65|SUV
175|EasternCape|2002|Female|34|945.82|2500.0|Sedan
176|KwaZuluNatal|2003|Male|64|921.43|0.0|SUV
177|EasternCape|5002|Male|42|906.99|0.0|Sedan
178|Gauteng|7001|Male|39|1105.27|2500.0|SUV
179|Limpopo|2001|Female|58|711.99|0.0|Hatchback
180|KwaZuluNatal|5001|Female|37|968.86|0.0|SUV
181|Limpopo|4002|Male|64|1278.48|444.22|Hatchback
182|Gauteng|2001|Female|57|891.7|0.0|Truck
183|KwaZuluNatal|2001|Female|31|1047.42|2500.0|Truck
184|EasternCape|2002|Male|50|2018.09|0.0|SUV
185|KwaZuluNatal|2001|Female|43|1088.05|0.0|Sedan
186|KwaZuluNatal|4002|Male|35|704.37|1510.68|SUV
187|Gauteng|2002|Male|65|771.66|0.0|SUV
188|WesternCape|4002|Male|38|944.08|0.0|Sedan
189|WesternCape|2002|Male|24|846.95|2500.0|SUV
190|WesternCape|6001|Male|39|1025.6|0.0|Sedan
191|EasternCape|5001|Male|44|935.2|0.0|Sedan
192|EasternCape|7001|Male|24|1405.21|0.0|SUV
193|EasternCape|7002|Female|56|807.82|0.0|Hatchback
194|WesternCape|2001|Male|29|953.18|0.0|SUV
195|Limpopo|2001|Female|22|1055.69|0.0|Hatchback
196|Gauteng|4001|Male|45|1090.85|2026.76|Hatchback
197|WesternCape|2001|Male|26|1036.83|0.0|Sedan
198|Gauteng|4002|Female|58|694.13|1338.15|SUV
199|WesternCape|7001|Male|21|1020.5|0.0|SUV
200|Limpopo|2002|Female|39|965.41|898.14|Sedan
201|WesternCape|4001|Female|20|1271.78|1069.23|Sedan
202|Limpopo|4001|Male|37|1217.23|0.0|Truck
203|KwaZuluNatal|5001|Female|66|1062.19|1402.31|Truck
204|EasternCape|2002|Male|51|1082.68|0.0|Hatchback
205|KwaZuluNatal|4001|Female|45|1500.45|2400.37|Truck
206|WesternCape|5002|Male|26|1397.63|0.0|SUV
207|EasternCape|2003|Male|34|1071.85|0.0|SUV
208|Limpopo|5002|Female|37|2049.13|0.0|Truck
209|WesternCape|5001|Male|48|874.39|0.0|SUV
210|EasternCape|7002|Female|28|796.41|0.0|SUV
211|WesternCape|5002|Female|69|997.41|2500.0|Sedan
212|EasternCape|6001|Female|51|919.63|2500.0|SUV
213|EasternCape|2003|Male|34|691.13|2500.0|Hatchback
214|KwaZuluNatal|6001|Female|23|870.44|1362.44|Sedan
215|EasternCape|2001|Male|48|1091.58|2462.13|SUV
216|WesternCape|2002|Male|41|986.31|0.0|Sedan
217|Gauteng|2001|Male|53|851.03|2500.0|Truck
218|Gauteng|7001|Male|49|1010.29|0.0|Truck
219|KwaZuluNatal|6001|Male|51|1030.66|0.0|SUV
220|Limpopo|4002|Male|61|1214.32|0.0|Truck
221|Gauteng|4002|Female|45|872.21|0.0|Truck
222|KwaZuluNatal|2001|Male|55|1275.72|1326.85|Truck
223|EasternCape|4001|Male|36|807.9|0.0|Sedan
224|WesternCape|7001|Male|67|895.73|0.0|Truck
225|EasternCape|7002|Female|39|1708.61|0.0|Sedan
226|WesternCape|2003|Female|53|816.4|0.0|Sedan
227|Limpopo|2003|Male|69|869.4|0.0|Truck
228|KwaZuluNatal|6001|Male|36|788.59|0.0|Truck
229|KwaZuluNatal|4001|Female|23|843.5|0.0|SUV
230|Gauteng|7002|Female|30|1034.62|0.0|Sedan
231|KwaZuluNatal|2001|Female|30|1211.18|0.0|Hatchback
232|Limpopo|5001|Male|20|995.55|0.0|SUV
233|Gauteng|7002|Male|46|929.2|0.0|SUV
234|EasternCape|7001|Male|32|789.77|1070.63|SUV
235|KwaZuluNatal|4002|Male|23|858.58|0.0|Sedan
236|EasternCape|2002|Female|25|758.2|0.0|SUV
237|EasternCape|4001|Female|32|1222.29|1486.29|Sedan
238|KwaZuluNatal|5002|Male|37|1248.79|510.22|Hatchback
239|WesternCape|7002|Female|68|990.41|0.0|Sedan
240|EasternCape|2001|Male|54|1121.3|109.74|Truck
241|Gauteng|2003|Female|55|1276.68|2500.0|Hatchback
242|KwaZuluNatal|2001|Male|53|1025.04|0.0|SUV
243|Gauteng|4001|Female|59|1523.0|0.0|Sedan
244|EasternCape|7001|Female|34|816.41|2500.0|Truck
245|EasternCape|2002|Male|23|924.49|0.0|Hatchback
246|Gauteng|4002|Male|44|902.12|2500.0|Hatchback
247|EasternCape|2002|Female|18|1189.81|1279.18|Hatchback
248|KwaZuluNatal|7001|Female|29|769.18|604.2|Hatchback
249|EasternCape|6001|Male|57|1553.6|0.0|Hatchback
250|Gauteng|2001|Female|44|1160.33|0.0|Truck
251|Gauteng|2003|Male|53|1743.26|1120.33|Sedan
252|KwaZuluNatal|7001|Female|44|990.38|0.0|Truck
253|Gauteng|4001|Female|46|887.51|1799.96|Hatchback
254|WesternCape|2003|Male|33|1193.32|2500.0|Sedan
255|EasternCape|6001|Male|29|1342.34|2492.94|Truck
256|Gauteng|2001|Female|31|860.55|0.0|Hatchback
257|EasternCape|6001|Female|59|720.65|0.0|Truck
258|Gauteng|4001|Male|68|733.71|0.0|Sedan
259|Gauteng|2001|Female|22|1067.92|521.77|Sedan
260|KwaZuluNatal|2002|Female|45|1607.85|0.0|Truck
261|EasternCape|2002|Male|42|783.27|0.0|Hatchback
262|Gauteng|2003|Female|47|939.69|2500.0|Hatchback
263|WesternCape|7001|Male|30|924.54|0.0|Sedan
264|Limpopo|4002|Male|18|1866.21|0.0|Hatchback
265|Limpopo|7001|Male|28|2151.04|0.0|SUV
266|KwaZuluNatal|5001|Male|27|1116.02|0.0|Sedan
267|KwaZuluNatal|2003|Male|20|1285.58|2500.0|Truck
268|WesternCape|2003|Female|36|1274.24|0.0|Hatchback
269|EasternCape|2003|Male|53|785.54|0.0|Truck
270|KwaZuluNatal|7001|Female|68|1208.25|0.0|Hatchback
271|WesternCape|5002|Male|52|816.96|2500.0|SUV
272|Gauteng|2003|Female|27|960.88|0.0|Truck
273|Gauteng|2003|Female|36|1392.59|0.0|SUV
274|Limpopo|6001|Male|33|1019.9|0.0|Truck
275|KwaZuluNatal|4002|Male|29|1375.08|0.0|SUV
276|KwaZuluNatal|2002|Female|69|1472.2|0.0|Hatchback
277|KwaZuluNatal|5002|Male|52|739.39|0.0|Truck
278|EasternCape|2002|Female|43|708.29|2500.0|Truck
279|Gauteng|2002|Female|40|1403.29|0.0|Truck
280|Gauteng|7002|Female|34|1422.96|0.0|Truck
281|WesternCape|4002|Male|39|1066.58|0.0|Sedan
282|KwaZuluNatal|2002|Male|50|1106.13|460.56|Truck
283|EasternCape|5001|Female|66|1283.55|783.35|Sedan
284|KwaZuluNatal|2002|Female|43|1275.94|0.0|Hatchback
285|KwaZuluNatal|5001|Female|27|933.27|0.0|Truck
286|Limpopo|2001|Female|67|1309.79|0.0|SUV
287|Gauteng|7002|Male|34|924.92|1816.99|Sedan
288|KwaZuluNatal|4002|Male|22|1062.94|0.0|Truck
289|KwaZuluNatal|2003|Female|46|1051.0|1651.52|SUV
290|KwaZuluNatal|4002|Male|59|838.84|0.0|Truck
291|Limpopo|4002|Female|31|856.13|0.0|Truck
292|WesternCape|4002|Male|32|2128.33|0.0|SUV
293|Limpopo|7001|Male|33|834.24|0.0|Hatchback
294|WesternCape|5001|Male|59|1099.42|1853.46|Sedan
295|KwaZuluNatal|5001|Female|67|1166.42|0.0|SUV
296|KwaZuluNatal|7001|Female|62|987.2|0.0|Hatchback
297|Limpopo|5001|Female|29|1198.46|0.0|Hatchback
298|KwaZuluNatal|6001|Male|62|1087.29|0.0|SUV
299|WesternCape|5002|Male|34|837.3|0.0|Hatchback
300|Gauteng|5001|Female|63|1152.0|0.0|Sedan
301|WesternCape|5001|Female|69|888.48|2500.0|Truck
302|Limpopo|5002|Male|55|1736.68|0.0|Hatchback
303|Gauteng|2003|Male|67|1117.46|2500.0|SUV
304|Limpopo|5001|Female|25|862.79|2500.0|SUV
305|KwaZuluNatal|2002|Male|52|1091.19|2022.27|Sedan
306|Gauteng|7001|Female|20|829.65|0.0|Truck
307|WesternCape|6001|Male|51|1066.91|0.0|Truck
308|KwaZuluNatal|2003|Female|35|949.34|0.0|SUV
309|WesternCape|5002|Female|68|843.55|838.86|Truck
310|Gauteng|7002|Female|43|841.72|0.0|SUV
311|EasternCape|2003|Female|57|2324.04|1645.52|Hatchback
312|EasternCape|2001|Male|33|1022.55|0.0|Sedan
313|Gauteng|4001|Male|21|908.72|2500.0|Truck
314|WesternCape|7002|Female|56|878.25|0.0|SUV
315|WesternCape|4001|Male|29|1130.68|0.0|Hatchback
316|EasternCape|2001|Female|55|872.7|0.0|Truck
317|EasternCape|2003|Female|42|807.41|0.0|SUV
318|EasternCape|2001|Male|68|992.3|0.0|Hatchback
319|Limpopo|7001|Male|36|990.52|0.0|Sedan
320|EasternCape|6001|Female|38|911.45|0.0|Truck
321|WesternCape|2002|Male|56|834.32|2500.0|Sedan
322|Gauteng|4002|Male|58|916.36|0.0|Hatchback
323|EasternCape|2001|Male|24|901.78|0.0|SUV
324|Limpopo|4001|Female|56|877.67|0.0|SUV
325|Limpopo|6001|Female|43|1072.18|0.0|SUV
326|WesternCape|7001|Male|69|2121.12|0.0|Truck
327|WesternCape|2002|Female|50|1489.38|0.0|SUV
328|Gauteng|4001|Female|58|1882.56|1304.38|Truck
329|Gauteng|2003|Male|35|884.53|0.0|SUV
330|KwaZuluNatal|5002|Male|32|1692.56|0.0|Hatchback
331|KwaZuluNatal|5002|Male|58|1058.44|2500.0|Hatchback
332|WesternCape|4002|Male|18|1322.91|732.6|Hatchback
333|WesternCape|4002|Male|48|1126.41|0.0|Hatchback
334|Limpopo|4002|Male|68|925.55|2500.0|Truck
335|KwaZuluNatal|5001|Female|69|1215.95|0.0|Sedan
336|Limpopo|7002|Female|55|1135.08|2500.0|Hatchback
337|Limpopo|6001|Female|43|738.46|2057.84|Sedan
338|WesternCape|7001|Male|60|971.29|0.0|Sedan
339|WesternCape|2001|Male|18|1275.13|2500.0|Hatchback
340|Limpopo|4002|Female|59|1072.44|2500.0|Hatchback
341|EasternCape|4002|Male|27|1130.14|0.0|Hatchback
342|WesternCape|6001|Female|56|854.83|0.0|SUV
343|EasternCape|7001|Female|36|1066.47|0.0|Sedan
344|KwaZuluNatal|7002|Female|57|977.53|0.0|SUV
345|Limpopo|4001|Male|49|954.03|0.0|Hatchback
346|WesternCape|7001|Male|66|866.11|0.0|Sedan
347|Limpopo|5001|Male|58|1292.55|0.0|Truck
348|Limpopo|7002|Female|65|1092.13|0.0|SUV
349|Gauteng|5001|Male|25|1063.22|1174.97|Hatchback
350|Gauteng|7002|Female|37|1969.14|0.0|SUV
351|KwaZuluNatal|2003|Female|40|1131.52|0.0|SUV
352|Gauteng|6001|Male|19|1422.02|0.0|SUV
353|WesternCape|4001|Male|19|1071.17|2500.0|SUV
354|KwaZuluNatal|5001|Male|20|923.62|2500.0|Hatchback
355|Limpopo|4001|Male|57|811.87|2500.0|SUV
356|Limpopo|7001|Female|41|1062.34|1860.77|Truck
357|Gauteng|6001|Female|57|680.91|0.0|Sedan
358|Limpopo|7001|Male|61|1071.04|0.0|Truck
359|Gauteng|6001|Female|19|1083.33|2500.0|Hatchback
360|EasternCape|7002|Male|62|951.05|0.0|Sedan
361|Limpopo|2001|Male|29|978.44|0.0|SUV
362|Limpopo|2001|Male|39|788.81|2500.0|Truck
363|WesternCape|6001|Male|68|1518.58|2500.0|SUV
364|Limpopo|4001|Female|33|926.72|0.0|SUV
365|Gauteng|7001|Female|66|823.23|0.0|Hatchback
366|KwaZuluNatal|5002|Female|44|1154.61|0.0|Hatchback
367|KwaZuluNatal|4002|Male|18|1027.48|949.3|Hatchback
368|WesternCape|4002|Female|61|922.62|0.0|Truck
369|Gauteng|4002|Female|20|902.79|0.0|Hatchback
370|EasternCape|2002|Female|51|998.65|0.0|Sedan
371|WesternCape|2001|Female|41|1496.91|0.0|Sedan
372|EasternCape|5001|Male|25|1130.17|2500.0|Hatchback
373|KwaZuluNatal|2001|Male|44|991.83|0.0|SUV
374|WesternCape|5001|Male|36|1267.09|0.0|Truck
375|Limpopo|2002|Male|23|1006.66|0.0|Sedan
376|Gauteng|2003|Male|46|1108.97|2500.0|Sedan
377|EasternCape|5001|Male|20|1037.97|0.0|SUV
378|EasternCape|4002|Male|45|1169.83|0.0|Truck
379|WesternCape|5001|Male|29|906.43|1406.72|Hatchback
380|WesternCape|4002|Male|61|801.92|0.0|SUV
381|Gauteng|2001|Male|67|1289.23|1511.09|SUV
382|Limpopo|5002|Female|66|1586.75|2500.0|Sedan
383|Limpopo|2003|Male|66|807.75|2500.0|Hatchback
384|WesternCape|2002|Male|23|1045.43|0.0|Sedan
385|Gauteng|5002|Female|44|905.56|0.0|Truck
386|Gauteng|2002|Male|29|1279.59|0.0|Sedan
387|Gauteng|4001|Female|23|1063.8|0.0|Sedan
388|Limpopo|7002|Male|38|3500.0|1882.13|Truck
389|Limpopo|5001|Male|40|933.82|0.0|Sedan
390|Gauteng|2001|Male|33|1606.1|0.0|Hatchback
391|EasternCape|2002|Male|23|1666.61|0.0|SUV
392|Gauteng|7002|Male|39|1150.94|0.0|SUV
393|WesternCape|7002|Female|26|1009.0|2500.0|Truck
394|KwaZuluNatal|5001|Male|20|1023.42|0.0|Truck
395|EasternCape|4002|Female|41|1002.46|0.0|Truck
396|Limpopo|2002|Male|21|1389.54|0.0|Truck
397|Gauteng|6001|Female|68|836.96|0.0|SUV
398|Gauteng|7002|Female|61|963.17|441.37|Truck
399|WesternCape|6001|Female|66|937.7|0.0|SUV
400|WesternCape|6001|Female|23|741.99|0.0|SUV
401|Limpopo|2001|Female|42|1269.69|2282.47|Truck
402|EasternCape|4001|Female|60|1356.89|2500.0|Sedan
403|WesternCape|7002|Male|47|873.4|0.0|Hatchback
404|Limpopo|7002|Female|33|1342.14|0.0|Hatchback
405|KwaZuluNatal|7001|Male|61|754.67|0.0|SUV
406|KwaZuluNatal|4001|Female|34|1005.79|0.0|Hatchback
407|KwaZuluNatal|7002|Male|68|970.82|0.0|Hatchback
408|Gauteng|2002|Female|23|1021.62|0.0|Truck
409|Limpopo|2003|Male|54|1020.31|1814.48|Truck
410|Gauteng|2002|Female|18|981.93|2500.0|Truck
411|Gauteng|5002|Male|65|916.97|2500.0|Hatchback
412|WesternCape|4002|Female|36|974.74|0.0|Hatchback
413|WesternCape|7001|Male|19|1506.32|0.0|SUV
414|Gauteng|7001|Male|61|882.66|0.0|Hatchback
415|Gauteng|2001|Male|68|2147.92|0.0|SUV
416|EasternCape|2003|Male|65|873.24|0.0|Hatchback
417|Limpopo|6001|Male|43|1061.97|0.0|Sedan
418|Gauteng|2001|Male|21|1163.51|523.39|Hatchback
419|WesternCape|2002|Male|29|935.76|0.0|Truck
420|KwaZuluNatal|5002|Male|19|1516.79|0.0|Sedan
421|Limpopo|4001|Female|20|1154.79|0.0|Sedan
422|EasternCape|2001|Female|26|953.73|2500.0|Truck
423|EasternCape|7002|Male|47|1510.71|1409.56|Hatchback
424|KwaZuluNatal|5001|Male|57|817.49|0.0|SUV
425|KwaZuluNatal|7001|Male|48|884.91|0.0|Truck
426|Gauteng|7001|Female|28|1160.6|0.0|SUV
427|Limpopo|4002|Female|49|1247.0|0.0|Truck
428|Limpopo|4001|Female|30|1085.43|0.0|Sedan
429|Gauteng|6001|Male|41|970.61|2500.0|Truck
430|EasternCape|2003|Male|64|943.99|0.0|Hatchback
431|Gauteng|2003|Male|24|1388.64|0.0|Sedan
432|EasternCape|2002|Male|63|1062.06|0.0|Hatchback
433|Limpopo|4002|Female|32|837.01|0.0|SUV
434|Gauteng|4001|Male|52|828.95|0.0|Sedan
435|KwaZuluNatal|7001|Male|31|1591.82|1210.38|Hatchback
436|Gauteng|4002|Male|26|859.88|2500.0|Sedan
437|KwaZuluNatal|7001|Male|41|1071.12|0.0|SUV
438|Limpopo|2002|Female|37|1499.65|0.0|SUV
439|Gauteng|4001|Female|44|1153.76|0.0|Sedan
440|WesternCape|7002|Female|30|853.88|0.0|SUV
441|Limpopo|7002|Male|68|817.47|540.76|Hatchback
442|WesternCape|7002|Female|52|1828.31|0.0|SUV
443|Gauteng|6001|Male|61|814.17|0.0|Sedan
444|KwaZuluNatal|2003|Female|58|887.01|0.0|Truck
445|KwaZuluNatal|2003|Male|55|1100.18|0.0|SUV
446|EasternCape|4001|Female|25|950.77|0.0|Truck
447|WesternCape|2001|Male|48|1164.39|0.0|Sedan
448|Limpopo|2002|Female|64|765.8|206.4|Truck
449|KwaZuluNatal|4001|Female|22|952.56|0.0|Sedan
450|WesternCape|4001|Male|42|1200.69|0.0|Sedan
451|Limpopo|4002|Female|27|1201.91|0.0|Sedan
452|Limpopo|2002|Male|59|883.72|2500.0|Hatchback
453|KwaZuluNatal|5002|Male|66|816.68|920.8|Truck
454|Gauteng|7002|Male|20|1054.72|0.0|Truck
455|KwaZuluNatal|2002|Female|59|782.0|0.0|Sedan
456|KwaZuluNatal|7001|Female|36|1464.39|0.0|Truck
457|Gauteng|2003|Male|68|1039.62|0.0|Sedan
